+------------------------------+-----------------+---------------+--------------+-----------+--------------------------+-----------------------------+----------------------+-------------------------+---------------+--------------------------+----------------------------+
|          model_type          | comprehensionQA | fact_reasonQA | fact_truthQA | beliefQAs | infoAccessibilityQA_list | infoAccessibilityQAs_binary | answerabilityQA_list | answerabilityQAs_binary | lieabilityQAs | liedetectabilityQAs_list | liedetectabilityQAs_binary |
+------------------------------+-----------------+---------------+--------------+-----------+--------------------------+-----------------------------+----------------------+-------------------------+---------------+--------------------------+----------------------------+
|     DeepSeek-R1-Turbo-0      |      52.78      |     100.00    |    77.27     |   66.95   |          36.21           |            87.66            |        56.90         |          91.38          |     73.08     |          27.78           |           70.37            |
|     DeepSeek-R1-Turbo-1      |      100.00     |     100.00    |    80.00     |   74.40   |          35.71           |            82.14            |        50.00         |          95.24          |     100.00    |          44.44           |           59.26            |
|     DeepSeek-R1-Turbo-2      |      71.43      |     85.71     |    75.00     |   59.09   |          63.64           |            81.82            |        72.73         |          66.67          |     68.18     |          28.57           |           61.90            |
|     DeepSeek-R1-Turbo-3      |      56.25      |     100.00    |    75.00     |   64.58   |          65.62           |            75.56            |        62.50         |          86.46          |     57.89     |           6.25           |           41.67            |
|     DeepSeek-R1-Turbo-4      |      68.75      |     93.75     |    100.00    |   65.43   |          18.52           |            79.01            |        44.44         |          86.42          |     81.48     |          18.75           |           62.50            |
|      DeepSeek-V3-0324-0      |      36.11      |     100.00    |    68.18     |   57.90   |          41.38           |            65.58            |        82.76         |          45.40          |     51.28     |          27.78           |           57.41            |
|      DeepSeek-V3-0324-1      |      88.89      |     100.00    |    60.00     |   64.88   |          50.00           |            67.86            |        50.00         |          85.71          |     75.00     |          55.56           |           59.26            |
|      DeepSeek-V3-0324-2      |      85.71      |     100.00    |    50.00     |   49.24   |          54.55           |            72.73            |        81.82         |          63.64          |     54.55     |          14.29           |           33.33            |
|      DeepSeek-V3-0324-3      |      43.75      |     100.00    |    56.25     |   56.51   |          78.12           |            68.89            |        68.75         |          57.29          |     21.05     |          12.50           |           33.33            |
|      DeepSeek-V3-0324-4      |      68.75      |     93.75     |    81.82     |   52.47   |          59.26           |            62.96            |        81.48         |          49.38          |     59.26     |          12.50           |           37.50            |
|    DeepSeek-V3-0324-cot-0    |      44.44      |     94.44     |    50.00     |   67.53   |          60.34           |            88.31            |        75.86         |          85.63          |     66.67     |          36.11           |           65.74            |
|    DeepSeek-V3-0324-cot-1    |      88.89      |     88.89     |    60.00     |   68.45   |          35.71           |            75.00            |        64.29         |          88.10          |     82.14     |          55.56           |           55.56            |
|    DeepSeek-V3-0324-cot-2    |      71.43      |     85.71     |    50.00     |   59.85   |          45.45           |            68.18            |        54.55         |          66.67          |     40.91     |          28.57           |           47.62            |
|    DeepSeek-V3-0324-cot-3    |      50.00      |     100.00    |    50.00     |   64.84   |          40.62           |            81.11            |        65.62         |          69.79          |     42.11     |           0.00           |           35.42            |
|    DeepSeek-V3-0324-cot-4    |      75.00      |     93.75     |    81.82     |   61.42   |          51.85           |            79.01            |        62.96         |          82.72          |     88.89     |          18.75           |           50.00            |
|   Llama-3.3-70B-Instruct-0   |      19.44      |     100.00    |    59.09     |   45.55   |          18.97           |            74.03            |        39.66         |          72.99          |     60.26     |          11.11           |           75.00            |
|   Llama-3.3-70B-Instruct-1   |      100.00     |     88.89     |    60.00     |   55.36   |          14.29           |            71.43            |        21.43         |          80.95          |     64.29     |           0.00           |           88.89            |
|   Llama-3.3-70B-Instruct-2   |      100.00     |     85.71     |    75.00     |   41.67   |          18.18           |            77.27            |        45.45         |          60.61          |     63.64     |          14.29           |           47.62            |
|   Llama-3.3-70B-Instruct-3   |      31.25      |     93.75     |    50.00     |   41.15   |          37.50           |            73.33            |        15.62         |          60.42          |     31.58     |           0.00           |           62.50            |
|   Llama-3.3-70B-Instruct-4   |      37.50      |     93.75     |    72.73     |   47.22   |          14.81           |            76.54            |        14.81         |          74.07          |     62.96     |           0.00           |           58.33            |
| Llama-3.3-70B-Instruct-cot-0 |      41.67      |     100.00    |    77.27     |   59.63   |           0.00           |            76.62            |         0.00         |          81.61          |     48.72     |           0.00           |           63.89            |
| Llama-3.3-70B-Instruct-cot-1 |      100.00     |     100.00    |    80.00     |   61.31   |           0.00           |            42.86            |         0.00         |          85.71          |     67.86     |           0.00           |           77.78            |
| Llama-3.3-70B-Instruct-cot-2 |      100.00     |     100.00    |    50.00     |   53.79   |           0.00           |            36.36            |         0.00         |          72.73          |     50.00     |           0.00           |           85.71            |
| Llama-3.3-70B-Instruct-cot-3 |      18.75      |     100.00    |    68.75     |   50.78   |           0.00           |            62.22            |         3.12         |          72.92          |     36.84     |           0.00           |           45.83            |
| Llama-3.3-70B-Instruct-cot-4 |      31.25      |     93.75     |    100.00    |   53.40   |           3.70           |            70.37            |         0.00         |          74.07          |     81.48     |           0.00           |           66.67            |
